Token;Número de documentos;Posición del primer registro
0;96;6798557
1;280;6798653
2;179;6798933
3;158;6799112
4;156;6799270
5;163;6799426
6;135;6799589
7;132;6799724
8;130;6799856
9;113;6799986
10;193;6800099
11;119;6800292
12;228;6800411
13;106;6800639
14;106;6800745
15;170;6800851
16;113;6801021
17;126;6801134
18;113;6801260
19;93;6801373
20;196;6801466
21;190;6801662
22;101;6801852
23;89;6801953
24;98;6802042
25;192;6802140
26;124;6802332
27;83;6802456
28;84;6802539
29;81;6802623
30;194;6802704
31;77;6802898
32;73;6802975
33;68;6803048
34;48;6803116
35;163;6803164
36;64;6803327
37;48;6803391
38;61;6803439
39;52;6803500
40;180;6803552
41;56;6803732
42;45;6803788
43;59;6803833
44;154;6803892
45;142;6804046
46;49;6804188
47;42;6804237
48;55;6804279
49;45;6804334
50;219;6804379
51;48;6804598
52;50;6804646
53;142;6804696
54;47;6804838
55;137;6804885
56;61;6805022
57;51;6805083
58;53;6805134
59;42;6805187
60;181;6805229
61;47;6805410
62;148;6805457
63;54;6805605
64;48;6805659
65;164;6805707
66;38;6805871
67;51;6805909
68;50;6805960
69;38;6806010
70;177;6806048
71;142;6806225
72;45;6806367
73;48;6806412
74;46;6806460
75;159;6806506
76;51;6806665
77;46;6806716
78;38;6806762
79;47;6806800
80;164;6806847
81;41;6807011
82;47;6807052
83;47;6807099
84;41;6807146
85;97;6807187
86;44;6807284
87;36;6807328
88;46;6807364
89;144;6807410
90;103;6807554
91;50;6807657
92;43;6807707
93;37;6807750
94;53;6807787
95;110;6807840
96;174;6807950
97;35;6808124
98;94;6808159
99;22;6808253
100;118;6808275
101;22;6808393
102;18;6808415
103;19;6808433
104;11;6808452
105;16;6808463
106;9;6808479
107;87;6808488
108;9;6808575
109;14;6808584
110;22;6808598
111;13;6808620
112;12;6808633
113;15;6808645
114;12;6808660
115;19;6808672
116;86;6808691
117;17;6808777
118;9;6808794
119;10;6808803
120;24;6808813
121;9;6808837
122;12;6808846
123;15;6808858
124;10;6808873
125;77;6808883
126;11;6808960
127;13;6808971
128;15;6808984
129;13;6808999
130;21;6809012
131;10;6809033
132;12;6809043
133;13;6809055
134;84;6809068
135;13;6809152
136;11;6809165
137;10;6809176
138;9;6809186
139;9;6809195
140;13;6809204
141;12;6809217
142;7;6809229
143;67;6809236
144;9;6809303
145;18;6809312
146;24;6809330
147;24;6809354
148;31;6809378
149;10;6809409
150;39;6809419
151;22;6809458
152;49;6809480
153;12;6809529
154;10;6809541
155;11;6809551
156;9;6809562
157;11;6809571
158;9;6809582
159;7;6809591
160;58;6809598
161;44;6809656
162;10;6809700
163;9;6809710
164;8;6809719
165;9;6809727
166;8;6809736
167;14;6809744
168;10;6809758
169;23;6809768
170;32;6809791
171;11;6809823
172;11;6809834
173;11;6809845
174;14;6809856
175;7;6809870
176;20;6809877
177;9;6809897
178;11;6809906
179;71;6809917
180;18;6809988
181;9;6810006
182;13;6810015
183;9;6810028
184;6;6810037
185;10;6810043
186;12;6810053
187;48;6810065
188;10;6810113
189;10;6810123
190;10;6810133
191;12;6810143
192;10;6810155
193;11;6810165
194;7;6810176
195;6;6810183
196;26;6810189
197;8;6810215
198;11;6810223
199;8;6810234
200;53;6810242
201;17;6810295
202;27;6810312
203;11;6810339
204;8;6810350
205;28;6810358
206;12;6810386
207;8;6810398
208;12;6810406
209;10;6810418
210;17;6810428
211;10;6810445
212;17;6810455
213;14;6810472
214;33;6810486
215;9;6810519
216;8;6810528
217;28;6810536
218;9;6810564
219;9;6810573
220;12;6810582
221;6;6810594
222;9;6810600
223;49;6810609
224;11;6810658
225;13;6810669
226;11;6810682
227;8;6810693
228;12;6810701
229;7;6810713
230;16;6810720
231;9;6810736
232;25;6810745
233;11;6810770
234;8;6810781
235;10;6810789
236;6;6810799
237;6;6810805
238;10;6810811
239;9;6810821
240;12;6810830
241;20;6810842
242;9;6810862
243;6;6810871
244;12;6810877
245;11;6810889
246;10;6810900
247;9;6810910
248;6;6810919
249;8;6810925
250;27;6810933
251;6;6810960
252;14;6810966
253;8;6810980
254;8;6810988
255;13;6810996
256;9;6811009
257;5;6811018
258;10;6811023
259;14;6811033
260;13;6811047
261;7;6811060
262;7;6811067
263;11;6811074
264;11;6811085
265;8;6811096
266;6;6811104
267;9;6811110
268;28;6811119
269;6;6811147
270;7;6811153
271;5;6811160
272;6;6811165
273;5;6811171
274;5;6811176
275;11;6811181
276;7;6811192
277;13;6811199
278;4;6811212
279;6;6811216
280;10;6811222
281;3;6811232
282;4;6811235
283;8;6811239
284;4;6811247
285;7;6811251
286;18;6811258
287;6;6811276
288;8;6811282
289;4;6811290
290;7;6811294
291;7;6811301
292;6;6811308
293;4;6811314
294;8;6811318
295;9;6811326
296;5;6811335
297;4;6811340
298;7;6811344
299;3;6811351
300;41;6811354
301;11;6811395
302;13;6811406
303;7;6811419
304;11;6811426
305;5;6811437
306;5;6811442
307;6;6811447
308;14;6811453
309;12;6811467
310;13;6811479
311;6;6811492
312;27;6811498
313;6;6811525
314;5;6811531
315;8;6811536
316;4;6811544
317;8;6811548
318;6;6811556
319;3;6811562
320;5;6811565
321;5;6811570
322;5;6811575
323;5;6811580
324;3;6811585
325;5;6811588
326;6;6811593
327;8;6811599
328;5;6811607
329;7;6811612
330;7;6811619
331;7;6811626
332;5;6811633
333;8;6811638
334;7;6811646
335;6;6811653
336;6;6811659
337;6;6811665
338;5;6811671
339;4;6811676
340;9;6811680
341;6;6811689
342;4;6811695
343;4;6811699
344;5;6811703
345;7;6811708
346;5;6811715
347;5;6811720
348;4;6811725
349;7;6811729
350;14;6811736
351;5;6811750
352;7;6811755
353;13;6811762
354;5;6811775
355;8;6811780
356;8;6811788
357;7;6811796
358;12;6811803
359;1;6811815
360;10;6811816
361;4;6811826
362;6;6811830
363;2;6811836
364;6;6811838
365;6;6811844
366;6;6811850
367;9;6811856
368;4;6811865
369;6;6811869
370;5;6811875
371;5;6811880
372;3;6811885
373;10;6811888
374;4;6811898
375;1;6811902
376;5;6811903
377;6;6811908
378;2;6811914
379;2;6811916
380;3;6811918
381;5;6811921
382;3;6811926
383;5;6811929
384;4;6811934
385;2;6811938
386;7;6811940
387;6;6811947
388;4;6811953
389;3;6811957
390;7;6811960
391;3;6811967
392;8;6811970
393;23;6811978
394;5;6812001
395;3;6812006
396;6;6812009
397;5;6812015
398;3;6812020
399;7;6812023
400;31;6812030
401;12;6812061
402;7;6812073
403;5;6812080
404;5;6812085
405;4;6812090
406;4;6812094
407;4;6812098
408;2;6812102
409;4;6812104
410;5;6812108
411;6;6812113
412;3;6812119
413;3;6812122
414;4;6812125
415;4;6812129
416;5;6812133
417;5;6812138
418;3;6812143
419;4;6812146
420;9;6812150
421;7;6812159
422;7;6812166
423;8;6812173
424;8;6812181
425;4;6812189
426;1;6812193
427;10;6812194
428;2;6812204
429;8;6812206
430;6;6812214
431;2;6812220
432;4;6812222
433;2;6812226
434;3;6812228
435;8;6812231
436;3;6812239
437;4;6812242
438;9;6812246
439;2;6812255
440;3;6812257
441;2;6812260
442;3;6812262
443;2;6812265
444;4;6812267
445;6;6812271
446;4;6812277
447;11;6812281
448;4;6812292
449;3;6812296
450;7;6812299
451;4;6812306
452;4;6812310
453;6;6812314
454;5;6812320
455;3;6812325
456;9;6812328
457;6;6812337
458;4;6812343
459;3;6812347
460;1;6812350
461;2;6812351
462;3;6812353
463;7;6812356
464;3;6812363
465;11;6812366
466;4;6812377
467;2;6812381
468;1;6812383
469;3;6812384
470;4;6812387
471;4;6812391
472;3;6812395
473;3;6812398
474;5;6812401
475;4;6812406
476;4;6812410
477;4;6812414
478;2;6812418
479;2;6812420
480;4;6812422
481;3;6812426
482;4;6812429
483;4;6812433
484;4;6812437
485;4;6812441
486;6;6812445
487;8;6812451
488;1;6812459
489;1;6812460
490;2;6812461
491;9;6812463
492;6;6812472
493;4;6812478
494;3;6812482
495;4;6812485
496;8;6812489
497;3;6812497
498;4;6812500
499;3;6812504
500;55;6812507
501;7;6812562
502;2;6812569
503;4;6812571
504;1;6812575
505;5;6812576
506;2;6812581
507;3;6812583
508;4;6812586
509;3;6812590
510;10;6812593
511;6;6812603
512;5;6812609
513;2;6812614
514;4;6812616
515;2;6812620
516;6;6812622
517;4;6812628
518;3;6812632
519;1;6812635
520;7;6812636
521;2;6812643
522;6;6812645
523;1;6812651
524;5;6812652
525;12;6812657
526;2;6812669
527;2;6812671
528;2;6812673
529;4;6812675
530;3;6812679
531;3;6812682
532;3;6812685
533;3;6812688
534;3;6812691
535;4;6812694
536;4;6812698
537;4;6812702
538;6;6812706
539;3;6812712
540;7;6812715
541;3;6812722
542;4;6812725
543;3;6812729
544;10;6812732
545;3;6812742
546;5;6812745
547;2;6812750
549;3;6812752
550;7;6812755
551;1;6812762
552;4;6812763
553;2;6812767
554;4;6812769
555;3;6812773
556;3;6812776
557;4;6812779
558;2;6812783
559;2;6812785
560;7;6812787
561;3;6812794
562;3;6812797
563;4;6812800
564;4;6812804
565;1;6812808
566;3;6812809
567;2;6812812
568;3;6812814
569;2;6812817
570;6;6812819
571;4;6812825
572;1;6812829
573;5;6812830
574;5;6812835
575;2;6812840
576;4;6812842
577;3;6812846
578;3;6812849
579;1;6812852
580;7;6812853
581;3;6812860
582;3;6812863
583;1;6812866
584;3;6812867
585;3;6812870
586;2;6812873
587;3;6812875
588;1;6812878
589;1;6812879
590;2;6812880
591;2;6812882
592;2;6812884
594;5;6812886
595;4;6812891
596;1;6812895
597;2;6812896
598;3;6812898
599;6;6812901
600;28;6812907
601;2;6812935
602;3;6812937
603;3;6812940
604;8;6812943
605;5;6812951
606;4;6812956
607;2;6812960
608;2;6812962
609;2;6812964
610;7;6812966
611;1;6812973
612;6;6812974
613;3;6812980
614;3;6812983
615;6;6812986
616;5;6812992
617;3;6812997
618;3;6813000
619;1;6813003
620;2;6813004
621;3;6813006
622;2;6813009
623;2;6813011
624;1;6813013
625;1;6813014
626;5;6813015
627;2;6813020
628;3;6813022
629;4;6813025
630;5;6813029
631;3;6813034
632;4;6813037
633;4;6813041
635;3;6813045
636;2;6813048
637;3;6813050
639;4;6813053
640;2;6813057
642;2;6813059
645;2;6813061
648;1;6813063
649;3;6813064
650;6;6813067
651;4;6813073
652;2;6813077
653;1;6813079
654;2;6813080
655;2;6813082
656;2;6813084
657;2;6813086
658;1;6813088
659;1;6813089
660;4;6813090
661;2;6813094
662;4;6813096
663;4;6813100
664;4;6813104
666;1;6813108
667;3;6813109
668;2;6813112
669;3;6813114
670;2;6813117
671;3;6813119
672;3;6813122
673;1;6813125
674;4;6813126
675;2;6813130
676;5;6813132
677;3;6813137
678;5;6813140
679;1;6813145
680;6;6813146
681;2;6813152
682;3;6813154
683;1;6813157
684;3;6813158
685;1;6813161
686;2;6813162
687;3;6813164
688;1;6813167
690;4;6813168
692;1;6813172
693;3;6813173
694;2;6813176
695;4;6813178
696;4;6813182
697;3;6813186
698;2;6813189
699;1;6813191
700;20;6813192
701;1;6813212
702;4;6813213
703;4;6813217
704;6;6813221
705;2;6813227
706;3;6813229
707;1;6813232
708;7;6813233
710;4;6813240
712;2;6813244
713;2;6813246
714;1;6813248
715;1;6813249
716;3;6813250
717;2;6813253
718;1;6813255
719;1;6813256
720;4;6813257
721;4;6813261
722;4;6813265
723;5;6813269
724;1;6813274
725;1;6813275
726;3;6813276
727;6;6813279
728;2;6813285
729;4;6813287
730;7;6813291
731;7;6813298
732;5;6813305
733;3;6813310
734;6;6813313
736;3;6813319
737;5;6813322
738;3;6813327
739;3;6813330
740;6;6813333
741;2;6813339
742;2;6813341
743;2;6813343
744;3;6813345
745;3;6813348
746;5;6813351
747;3;6813356
748;3;6813359
749;2;6813362
750;5;6813364
751;2;6813369
752;1;6813371
753;3;6813372
757;2;6813375
758;2;6813377
759;2;6813379
760;1;6813381
761;4;6813382
762;3;6813386
763;5;6813389
764;1;6813394
765;3;6813395
766;1;6813398
768;2;6813399
769;2;6813401
770;4;6813403
771;2;6813407
772;6;6813409
773;3;6813415
774;1;6813418
775;3;6813419
776;3;6813422
777;2;6813425
778;2;6813427
779;2;6813429
780;1;6813431
781;1;6813432
782;18;6813433
783;3;6813451
784;2;6813454
785;11;6813456
787;1;6813467
788;3;6813468
789;3;6813471
790;2;6813474
791;3;6813476
792;2;6813479
793;4;6813481
794;4;6813485
795;3;6813489
796;2;6813492
797;3;6813494
798;2;6813497
799;3;6813499
800;143;6813502
801;3;6813645
802;1;6813648
803;1;6813649
804;1;6813650
805;3;6813651
807;2;6813654
808;3;6813656
809;2;6813659
810;2;6813661
811;4;6813663
812;3;6813667
813;13;6813670
814;14;6813683
815;4;6813697
816;4;6813701
817;1;6813705
818;4;6813706
819;1;6813710
820;2;6813711
821;2;6813713
822;1;6813715
823;1;6813716
824;3;6813717
825;1;6813720
826;3;6813721
827;4;6813724
828;4;6813728
829;4;6813732
830;5;6813736
835;1;6813741
836;5;6813742
837;2;6813747
838;4;6813749
839;2;6813753
840;1;6813755
843;2;6813756
844;1;6813758
845;2;6813759
846;2;6813761
847;1;6813763
849;1;6813764
850;6;6813765
852;2;6813771
856;4;6813773
857;4;6813777
858;1;6813781
859;2;6813782
860;3;6813784
861;2;6813787
862;1;6813789
865;2;6813790
866;1;6813792
867;1;6813793
868;3;6813794
869;3;6813797
870;6;6813800
871;1;6813806
872;2;6813807
873;4;6813809
874;3;6813813
875;3;6813816
876;3;6813819
878;3;6813822
879;2;6813825
880;1;6813827
882;1;6813828
883;1;6813829
884;5;6813830
886;6;6813835
887;2;6813841
888;5;6813843
889;1;6813848
891;2;6813849
892;1;6813851
894;7;6813852
895;3;6813859
896;1;6813862
897;1;6813863
898;1;6813864
900;13;6813865
901;1;6813878
902;2;6813879
903;1;6813881
904;2;6813882
905;2;6813884
906;1;6813886
907;2;6813887
908;1;6813889
909;2;6813890
910;3;6813892
911;1;6813895
912;4;6813896
913;3;6813900
914;1;6813903
915;2;6813904
916;5;6813906
917;2;6813911
918;1;6813913
919;2;6813914
920;3;6813916
921;4;6813919
922;2;6813923
923;1;6813925
924;1;6813926
925;5;6813927
927;3;6813932
928;3;6813935
929;4;6813938
930;1;6813942
931;2;6813943
932;2;6813945
933;2;6813947
936;3;6813949
938;1;6813952
940;1;6813953
941;3;6813954
942;3;6813957
943;1;6813960
944;4;6813961
945;1;6813965
946;4;6813966
947;2;6813970
949;2;6813972
950;1;6813974
952;1;6813975
953;2;6813976
954;3;6813978
955;1;6813981
956;1;6813982
958;1;6813983
959;1;6813984
960;1;6813985
961;2;6813986
962;1;6813988
963;4;6813989
964;4;6813993
965;2;6813997
966;1;6813999
968;3;6814000
969;1;6814003
970;3;6814004
971;3;6814007
972;2;6814010
973;1;6814012
975;2;6814013
976;2;6814015
978;3;6814017
979;2;6814020
980;2;6814022
981;1;6814024
983;3;6814025
984;1;6814028
985;1;6814029
987;4;6814030
988;2;6814034
989;1;6814036
992;5;6814037
995;2;6814042
996;1;6814044
997;1;6814045
999;2;6814046
1000;16;6814048
1001;2;6814064
1003;1;6814066
1004;4;6814067
1006;2;6814071
1007;1;6814073
1009;1;6814074
1010;2;6814075
1012;1;6814077
1013;1;6814078
1014;2;6814079
1022;1;6814081
1023;2;6814082
1024;2;6814084
1025;1;6814086
1026;2;6814087
1028;1;6814089
1030;1;6814090
1031;1;6814091
1032;1;6814092
1035;2;6814093
1036;2;6814095
1037;1;6814097
1039;2;6814098
1040;2;6814100
1041;2;6814102
1043;1;6814104
1044;3;6814105
1045;1;6814108
1046;2;6814109
1049;1;6814111
1050;1;6814112
1052;3;6814113
1053;3;6814116
1054;1;6814119
1055;5;6814120
1056;1;6814125
1057;1;6814126
1060;1;6814127
1062;2;6814128
1064;1;6814130
1066;1;6814131
1067;1;6814132
1068;1;6814133
1069;1;6814134
1070;5;6814135
1073;1;6814140
1074;1;6814141
1076;2;6814142
1078;2;6814144
1079;2;6814146
1080;3;6814148
1081;3;6814151
1085;1;6814154
1086;1;6814155
1088;1;6814156
1090;5;6814157
1091;1;6814162
1097;1;6814163
1099;2;6814164
1100;11;6814166
1101;1;6814177
1103;2;6814178
1104;1;6814180
1105;1;6814181
1107;1;6814182
1110;1;6814183
1111;2;6814184
1112;1;6814186
1113;1;6814187
1114;1;6814188
1115;3;6814189
1120;1;6814192
1121;3;6814193
1134;1;6814196
1135;1;6814197
1139;1;6814198
1146;2;6814199
1149;1;6814201
1151;1;6814202
1152;1;6814203
1153;1;6814204
1155;1;6814205
1156;1;6814206
1157;1;6814207
1162;1;6814208
1167;1;6814209
1169;1;6814210
1170;3;6814211
1172;1;6814214
1173;1;6814215
1175;1;6814216
1176;2;6814217
1177;1;6814219
1178;5;6814220
1179;1;6814225
1181;1;6814226
1182;1;6814227
1183;1;6814228
1184;4;6814229
1186;3;6814233
1187;2;6814236
1189;1;6814238
1191;1;6814239
1196;1;6814240
1200;3;6814241
1201;4;6814244
1205;1;6814248
1209;2;6814249
